no	file name	file number	answer	result_1(0%)	result_2(random)	replace	insert	delete
1	821195001546059	1	公路總局用路人服務中心您好敝姓常很高興為您服務	公路總局用路人服務中心您好敝姓常很高興為您服務	公路總局用路人服務中心您好敝姓常很高興為您服務總局用路人服務中心您好敝姓常很高興為您服務			
2	821195001546059	2	呃小姐你好我想請問一下吼	呃小姐你好我想請問一下吼	呃小姐你好我想吼你好我想請問一下吼			
3	821195001546059	3	呃小姐怎麼稱呼您	呃小姐怎麼稱呼您	接怎麼稱呼唉怎麼稱呼您			
4	821195001546059	4	呃我姓黃	呃我姓黃	呃我姓黃			
5	821195001546059	5	黃小姐您好請問母親的住籍唉戶籍是在哪裡呢	黃小姐您好請問母親的住籍唉戶籍是在哪裡呢	唉您好請問母親的住籍唉戶籍是在哪裡呢也您好請問母親的住籍唉戶籍是在哪裡呢			
6	821195001546059	6	太平是臺	太平是台	太平是他			
7	821195001546059	7	台中市太平區	台中市太平區	台中市進去台中市太平區台中市太平區台中市太平區			
8	821195001546059	8	裁決所那他電話是幾號	裁決所那他電話是幾號	嘿他幾號			
9	821195001546059	9	稍等一下幫你查一下台中嘛	稍等一下幫你查一下台中嗎	稍等一下他一下台			
10	821195001546059	10	對台中市的	對台中市的	喔是的			
11	821195001546059	11	台中的話電話是零四	台中的話電話是零四	台中的話電話是			
12	821195001546059	12	二五一五	二五一五	二五一五			
13	821195001546059	13	二五一五	二五一五	二五一五五			
14	821195001546059	14	二五三五	二五三五	二五			
15	821195001546059	15	二五三五分機呢	二五三五分機了	二五三五分機了			
16	821195001546059	16	呃他沒有分機我這邊沒有他的分機您可能打過去再問一下	呃他沒有分機我這邊沒有他的分機您可能打過去再問一下	呃他沒有分機我這邊有他的分機您可能打過去再問一天有分機我這邊沒有他的分機您可能打過去再問一下			
17	821195001546059	17	OK好那我知道謝謝	OK好那我知道謝謝	OK好那我知道謝謝			
18	821195001546059	18	再麻煩你感謝你的來電再見	再麻煩你感謝您的來電再見	再麻煩你單線再見			
19	821195001469388	1	公路總局用路人服務中心您好敝姓鄭很高興為您服務	公路總局用路人服務中心您好敝姓鄭很高興為您服務	公路總局用路人服務中心您好敝姓鄭很高興為您服務公路總局用路人服務中心您好敝姓鄭很高興為您服務			
20	821195001469388	2	誒不是簡先生嗎	唉不是簡先生嗎	唉不是簡先生嗎嗎			
21	821195001469388	3	誒是簡先生嗎	嘿是簡先生嗎	唉先先生嗎			
22	821195001469388	4	請問先生您是要找哪個單位呢	請問先生您是要繳那個單位呢	請問先生只要的單位呢			
23	821195001469388	5	誒我剛才反映的那個台六四那個問題	唉我剛才反映的那個台六四那個問題	嗯才反映的那個台六四問題			
24	821195001469388	6	台六四問題請問先生貴姓	台六四問題請問先生貴姓	還是請問是貴姓不是問題請問先生貴姓			
25	821195001469388	7	謝先生您好是哪一位簡先生	謝先生您好是哪一位簡先生	謝先生您好是哪一位先生			
26	821195001469388	8	誒請問你們這個話務中心這個有有有幾位人員在值班在接電話	唉請問您們這個話務中心這個有有有幾位人員在值班在接電話	唉請問您們這個話務中心這個有有人在值班在華			
27	821195001469388	9	是養護工程單位的嗎	是養護工程單位的嗎	是養護工程			
28	821195001469388	10	誒我不知道是哪一個單位餒	唉我不知道是哪一個單位餒	唉是哪一個單位餒			
29	821195001469388	11	那他是幫您處理什麼樣事項不好意思	那他是幫您處理什麼樣事項不好意思	那他是幫您處事項不好意思			
30	821195001469388	12	我剛剛反映那個台六四路被封起來啊	我剛剛反映那個台六四路被封起來啊	我當時路被封起來啊			
31	821195001469388	13	那你你你幫我轉轉那個主管單位好不好他們那個台六四的	那你你幫我轉轉那個主管單位好不好他們那個台六四的	那你您我轉轉那個主管單位好不好他們那個台六四的			
32	821195001469388	14	好您稍等一下喔	好您稍等一下喔	等一下喔			
33	821195001444121	1	呃請您稍等我再跟另一個養工處做確認	呃請您稍等我再跟另一個養工處做確認	呃請您稍等我再跟另一個您做確認			
34	821195001444123	1	韓先生您好不好意思讓您久等	韓先生您好不好意思讓您久等	韓先生您好是讓您久等			
35	821195001444123	2	好OK好那我知道了嗯好謝謝	好OK好那我知道了嗯好謝謝	好OK好那我請好謝謝			
36	821195001444123	3	謝謝再見	謝謝再見	是			
37	821195001444124	1	公路總局用路人服務中心您好敝姓蔡很高興為您服務	公路總局用路人服務中心您好敝姓蔡很高興為您服務	公路總局用服務中心您好敝姓蔡很高興為您服務			
38	821195001444124	2	喂許先生您好吼	喂許先生您好吼	喂先生您好吼先生您好吼			
39	821195001444124	3	唉是公路總局吼	唉是公路總局吼	公路總局吼			
40	821195001444124	4	嘿我有一個公公公車那個要反映一下吼	嘿我有一個公公公車那個要反映一下吼	嘿我有一個公公公車就是一下吼			
41	821195001444124	5	是現在都公車可以這樣嗎	是現在都公車可以這樣嗎	是先生一			
42	821195001444124	6	好先詢問一下小姐怎麼稱呼	好先詢問一下小姐怎麼稱呼	好先詢問一下小姐您保險詢問一下小姐怎麼稱呼			
43	821195001444124	7	我姓王三橫一豎王	我姓王三橫一豎王	王三橫一四			
44	821195001444124	8	王小姐您好您現在嗯在這輛車車上嗎	王小姐您好您現在嗯在這輛車車上嗎	王小姐您好嗯在這輛車車上嗎			
45	821195001444124	9	我已經下車了	我已經下車了	已經下車了			
46	821195001444124	10	那你有沒有	三一九沒有	然後			
47	821195001444124	11	我如果在車上你會聽不聽不到那個聽不到那個聲音	我如果在車上你會聽不聽不到那個聽不到那個聲音	我如果在車上你會請到那個請的聲音			
48	821195001444124	12	瞭解那你有他的嘿車號嗎	了解那您有他的嘿車號嗎	有沒有他的嘿車號			
49	821195001444124	13	是那您你懂我的意思嗎嘿	是那您你懂我的意思嗎嘿	是那您你懂王嘿			
50	821195001444124	14	對如果說您搭乘的	對如果說您搭乘的	對如果說搭乘的您搭乘的			
51	821195001444124	15	不接受公車嘿	不接受公車嘿	嘿是的			
52	821195001444124	16	好好再麻煩你了	好好再麻煩你了	好好再麻煩了			
53	821195001444124	17	謝謝您了	謝謝您啊	是			
54	821195001444125	1	公路總局用路人服務中心您好敝姓陳很高興為您服務	公路總局用路人服務中心您好敝姓陳很高興為您服務	公路總局嗯服務中心您好敝姓陳很高興為您服務			
55	821195001444125	2	唉你好我想問一下那個罰單啊可以直接在監理站用刷卡繳費嗎	唉你好我想問一下那個罰單啊可以直接在監理站用刷卡繳費嗎	唉您好我想問一下那個罰到監理站用刷卡繳費嗎			
56	821195001444125	3	呃請問小姐貴姓怎麼王三橫一豎王	呃請問小姐貴姓怎麼王三橫一豎王	呃請問小姐貴姓怎麼三橫一豎王			
57	821195001444125	4	呃王小姐您好呃請問是怎麼樣的罰單	呃王小姐您好呃請問是怎麼樣的罰單	姐您好呃請問是怎麼辦			
58	821195001444125	5	那個超速的罰單	那個超速的罰單	那個超速的罰單			
59	821195001444125	6	呃因為我們監理所站目前罰單都是要用現金來做繳費	呃因為我們監理所站目前罰單都是要用現金來做繳費	我們監理所站目前罰單都是要用現金燃費			
60	821195001444125	7	嗯那為什麼上面有寫說可以刷卡	呃那為什麼上面有寫說可以刷卡	呃那為什麼上面有寫說刷卡			
61	821195001444125	8	呃可以刷卡的話您要到我們的監理服務網	呃可以刷卡的話您要到我們的監理服務網	啊他的話您我們的監理服務網可以刷卡的話您要到我們的監理服務網			
62	821195001444125	9	喔要網站是不是	喔我要網站是不是	三是不是			
63	821195001444125	10	但是我的車牌是掛公司車牌變成網站我沒有辦法刷卡	但是我的車牌是掛公司車牌變成網站我沒有辦法刷卡	但是我的車牌是掛公司發一變成網站我沒有辦法刷卡			
64	821195001444125	11	呃嗯OK好那我了解了	嗯嗯OK好那我了解了	呃那我了解了			
65	821195001444125	12	那請問還有什麼地方可以為您服務	那請問還有什麼地方可以為您服務	那我什麼地方可以您服務			
66	821195001444125	13	呃沒有關係不用了	呃沒有關係不用了	呃您不用了機不用了			
67	821195001444125	14	謝謝您的呃謝謝	謝謝您的呃謝謝	士林的二線			
68	821195001444125	15	謝謝再見	謝謝再見	謝謝			
69	821195001544715	1	公路總局用路人服務中心您好敝姓常很高興為您服務	公路總局用路人服務中心您好敝姓常很高興為您服務	總局用路人服務中心您好敝姓常很高興為您			
70	821195001544715	2	唉您好我想要請問一下那那個如唉要申請行車紀錄器大車啊	唉您好我想要請問一下那那個路唉要申請行車紀錄器大車啊	唉您好我想要請問一下那那個路唉要申請行車機車啊			
71	821195001544715	3	行車視野補助嗎	行車視野補助嗎	行車視野補助			
72	821195001544715	4	喔那電話是幾號你知道嗎	喔那電話是幾號你知道嗎	喔那電話是幾號到嗎			
73	821195001544715	5	那您稍等一下哦好謝謝他的電話是總機的電話是二三零七	那您稍等一下喔好謝謝他的電話是總機的電話是二三零七	那我等一下喔好謝謝他的電話是總機的是二三零七			
74	821195001544715	6	二三零七	二三零七	是			
75	821195001544715	7	零一二三	零一二三	嗯			
76	821195001544715	8	零零一二三	零零一二三	二三			
77	821195001544715	9	對然後您看那個是總機	對然後您看那個是總機	對然後您看那個是			
78	821195001544715	10	是零二嗎	是零二嗎	是零二二嗎			
79	821195001544715	11	零一二三二三零七零一二三	零一二三二三零七零一二三	零一三二三零七零一二三			
80	821195001544715	12	對啊那前面的電話是零二	對啊那前面的電話是零二	對啊前面的電話是零二			
81	821195001544715	13	啊對沒錯零二台北的電話	呃對沒錯零二台北的電話	啊所以沒錯零二台北			
82	821195001544715	14	好的謝謝謝謝	好的謝謝謝謝	好謝謝			
83	821195001544715	15	是再麻煩您	是再麻煩您	是再麻煩			
84	821195001544715	16	好謝謝喔	好謝謝喔	謝謝喔			
85	821195001544715	17	感謝您的來電再見	感謝您的來電再見	感謝您的來的來電			
86	821195001444126	1	公路總局用路人服務中心您好敝姓蔡很高興為您服務	公路總局用路人服務中心您好敝姓蔡很高興為您服務	公路等服務中心您好敝姓蔡很高興服務			
87	821195001444126	2	呃好這邊小姐怎麼稱呼	呃好這邊小姐怎麼稱呼	呃好這邊小姐怎麼稱呼			
88	821195001444126	3	陳小姐您好唉因為今天是假日基本上全省監理站所都沒有服務耶	陳小姐您好啊因為今天是假日基本上全省監理站所都沒有服務耶	陳小姐您好啊因為今天是基本上全省監理站所			
89	821195001444126	4	可是網路上不是說假日也有開放嗎	可是網路上不是說假日也有開放嗎	可是忘記說假日也有開放嗎			
90	821195001444126	5	呃他但他只有開放那個禮拜六然後十二點之前的一個考照業務而已	呃他但他只有開放那個禮拜六然後十二點之前的一個考照業務而已	呃他都開放那個禮拜六然後十二點之前的依照業務而已			
91	821195001444126	6	所以禮拜日沒有	所以禮拜日沒有	四八一			
92	821195001444126	7	喔好謝謝	喔好謝謝	嘿			
93	821195001444126	8	好還有什麼地方為您服務	好還有什麼地方為您服務	好還有什麼地方為您服務還有什麼地方為您服務			
94	821195001444126	9	沒有了謝謝	沒有了謝謝	對			
95	821195001444126	10	好謝謝您來電了再見	好謝謝您來電了再見	好謝謝您來電謝謝您來電了再見			
96	821195001444126	11	好byebye	好byebye	好			
97	821195001444127	1	公路總局用路人服務中心您好敝姓陳唉很高興為您服務	公路總局用路人服務中心您好敝姓陳唉很高興為您服務	公路總局用路人服務敝姓陳唉很高興為您服務			
98	821195001444127	2	你是唉新竹車站的嘛吼新竹客運吼	你是唉新竹車站的嘛吼新竹客運吼	你是唉新竹車站的嘛吼新竹客運			
99	821195001444127	3	呃請問小姐貴姓怎麼稱呼您	呃請問小姐貴姓怎麼稱呼您	呃您貴姓怎麼稱呼您也貴姓怎麼稱呼您			
100	821195001444127	4	新竹客運嗎	新竹客運嗎	新竹開嗎呃預約嗎客運嗎呃語音嗎			
101	821195001444127	5	呃我我們這邊不是新竹客運請問您是要搭乘新竹客運嗎	呃我我們這邊不是新竹客運請問您是要搭乘新竹客運嗎	呃我我們這邊李新竹客運請問您是要搭乘詢嗎			
102	821195001444127	6	呃請問您有沒有路線編號	呃請問您有沒有路線編號	呃請問您有沒有路線編號			
103	821195001444127	7	路線是呃東萬線東萬線新竹到到湖口	路線是呃東萬線東萬線新竹到到湖口	朱先生東萬線東萬新竹到到湖口			
104	821195001444127	8	呃請問是	二請問是	是			
105	821195001444127	9	新竹到中壢	新竹到中壢	新竹Z			
106	821195001444127	10	新竹到中壢那請對稍等我這邊先為您查詢	新竹到中壢那請對稍等我這邊先為您查詢	新竹那請對稍等我這邊先為您查詢			
107	821195001444127	11	好謝謝你	好謝謝你	好謝謝你			
108	821195001544486	1	虎先生不好意思讓您久等喔	胡先生不好意思讓您久等喔	胡先生等一下喔			
109	821195001544486	2	呃這個還是要詢問監理站耶還是說您這邊方便明天上班時間致電呢	呃這個還是要詢問監理站驗還是說您這邊方便明天上班時間致電呢	呃這個還是要詢問監理站還是說您這邊方便明天上班時間致電呢			
110	821195001544486	3	蛤是喔我本來	好他是喔我本來	好是喔我本來			
111	821195001544486	4	打電話過來這裡我們也可以幫您諮詢的喔	打電話過來這裡我們也可以幫您諮詢的喔	打電話過來可以幫您諮詢的喔			
112	821195001544486	5	是喔對啊現在沒辦法知道是不是	是喔對啊現在沒辦法提到是不是	是喔對啊現在沒辦法去補			
113	821195001544486	6	呃對這邊為了給您更正確的資訊我還是要先詢問一下窗口	呃對這邊為了給您更正確的資訊我還是要先詢問一下窗口	呃對這邊為了給您更正確的資訊我好詢問一下窗口			
114	821195001544486	7	好謝謝我知道了我明天在問好了謝謝byebye	好謝謝我知道了我明天再問好了謝謝byebye	好謝謝我知道了我明天再問哪邊			
115	821195001544486	8	好謝謝您再見	好謝謝您再見	好謝			
116	821195001544132	1	公路總局用路人服務中心您好敝姓李嘿小姐為您服務	公路總局用路人服務中心您好敝姓李嘿小姐為您服務	公路總局用路人服務中心敝姓李嘿小姐為您服務			
117	821195001544132	2	八六八零L七	八六八零L七	八零L七			
118	821195001544132	3	先請問小姐貴姓怎麼吳您	先請問小姐貴姓怎麼稱呼您	先請問小姐請問您			
119	821195001544132	4	吳淑芳口天吳	吳淑芳口天吳	吳淑芳口天			
120	821195001544132	5	吳小姐您好請問車主的大名是	吳小姐您好請問車主的大名是	吳小姐您好請問車主的大名是			
121	821195001544132	6	就就口天吳	就就口天吳	就就口天吳			
122	821195001544132	7	對對對對對對對	對對對對對對對	對對對對對對			
123	821195001544132	8	目前系統這邊確認到燃料費還沒有繳納	目前系統這邊確認到燃料費還沒有繳納	目前系統這邊去燃料費還沒有繳納			
124	821195001544132	9	還沒有繳吼	還沒有繳吼	沒有繳			
125	821195001544132	10	那我問你超過要去哪裡繳	那我問你超過要去哪裡繳	那我問你超過要去哪裡繳我問你超過要去哪裡繳			
126	821195001544132	11	喔那seven就可以嘛吼好謝謝	喔那是要分就可以嘛吼好謝謝	喔那可以嘛吼好			
127	821195001544132	12	還有什麼為您好謝謝byebye	還有什麼為您好謝謝byebye	喂您好謝謝byebye			
128	821195001544132	13	謝謝再見	謝謝再見	再見			
129	821195001512982	1	公路總局用路人服務中心您好敝姓吳很高興為您服務	公路總局用路人服務中心您好敝姓吳很高興為您服務	公路總局用路人服務中心敝姓吳很高興為您			
130	821195001512982	2	唉您好唉請問是監理所嗎	唉您好唉請問是監理所嗎	唉您好唉請問時間嗎			
131	821195001512982	3	我們這邊是公路總局用路人服務中心請問您貴姓怎麼稱呼	我們這邊是公路總局用路人服務中心請問您貴姓怎麼稱呼	我們這邊是公路總局用路人服務中心請問您貴姓怎麼稱呼			
132	821195001512982	4	唉我姓陳	唉我姓陳	唉我姓白我姓陳			
133	821195001512982	5	陳先生您好唉您想詢問監理站的什麼業務	陳先生您好唉您想詢問監理站的什麼業務	陳先生您好您是監理站的什麼業務			
134	821195001512982	6	呃您是說什麼車改成	呃您是說什麼車改成	呃您是說什麼			
135	821195001512982	7	唉計程車營業車	唉計程車營業車	唉車			
136	821195001512982	8	喔營業用的計程車要要過給	喔營業用的計程車要要過給	喔營業用的計程車過給			
